year,temp,temp_anomaly,wind,precip,humidity
1945,16.751,-0.155,17.375,113.658,73.815
1946,17.746,0.84,17.137,80.917,69.033
1947,16.713,-0.193,17.678,84.292,69.613
1948,16.741,-0.165,16.862,104.367,72.834
1949,18.589,1.682,17.073,69.617,68.893
1950,16.624,-0.282,17.47,86.533,70.114
1951,17.257,0.351,17.422,90.75,69.457
1952,17.202,0.295,17.189,110.767,69.016
1953,18.354,1.447,16.976,87.417,67.653
1954,17.42,0.514,17.732,80.767,67.414
1955,17.186,0.28,17.394,77.308,67.673
1956,16.526,-0.38,17.406,94.025,70.97
1957,17.333,0.427,16.964,78.183,67.573
1958,15.615,-1.291,18.165,106.367,69.001
1959,17.651,0.744,17.24,82.5,67.977
1960,16.341,-0.565,17.245,93.275,69.025
1961,16.389,-0.518,17.468,94.575,70.947
1962,16.156,-0.751,17.25,79.008,67.352
1963,16.431,-0.475,17.359,78.65,65.19
1964,16.964,0.057,18.03,81.2,66.99
1965,16.559,-0.347,16.984,58.883,65.565
1966,16.613,-0.294,17.282,76.242,66.255
1967,15.99,-0.916,17.179,89.092,69.714
1968,17.028,0.122,17.576,77.192,64.686
1969,16.138,-0.768,17.362,100.975,68.986
1970,16.757,-0.149,17.099,82.708,68.413
1971,16.872,-0.034,17.714,109.008,67.78
1972,16.139,-0.767,17.673,118.483,70.59
1973,17.578,0.672,17.058,105.733,69.711
1974,17.125,0.218,17.617,81.408,68.442
1975,17.304,0.397,17.23,110.833,70.829
1976,16.877,-0.029,18.706,79.625,65.002
1977,17.042,0.136,18.327,100.85,67.614
1978,15.879,-1.027,17.25,111.675,70.593
1979,16.56,-0.346,17.154,107.025,71.267
1980,16.9,-0.006,17.941,69.292,64.082
1981,16.336,-0.57,18.082,82.042,66.987
1982,16.514,-0.392,16.742,82.067,69.284
1983,17.133,0.227,17.257,126.017,68.831
1984,16.745,-0.161,16.632,108.692,71.455
1985,17.148,0.241,17.56,75.575,67.124
1986,17.066,0.16,16.845,89.517,69.058
1987,16.884,-0.022,16.858,97.525,70.543
1988,17.019,0.113,17.36,76.133,66.341
1989,16.3,-0.606,17.005,109.742,70.5
1990,18.309,1.403,17.499,87.325,69.828
1991,18.391,1.484,16.532,88.65,67.973
1992,16.539,-0.368,17.37,81.217,69.179
1993,17.068,0.161,17.252,94.258,67.885
1994,17.099,0.193,17.382,95.55,68.432
1995,16.925,0.019,16.934,80.442,67.343
1996,15.898,-1.008,17.329,117.317,71.65
1997,16.673,-0.234,17.961,79.45,66.357
1998,18.174,1.268,16.566,79.758,68.873
1999,17.755,0.849,17.306,89.008,66.262
2000,16.523,-0.383,17.256,81.867,68.595
2001,17.698,0.792,16.513,64.292,67.125
2002,17.96,1.054,17.361,90.708,66.946
2003,16.048,-0.859,17.011,113.983,72.157
2004,16.837,-0.069,16.652,94.167,69.562
2005,17.39,0.484,16.64,82.842,67.501
2006,18.199,1.293,17.372,101.933,66.528
2007,17.593,0.687,16.89,86.55,65.397
2008,17.718,0.811,17.292,91.442,65.83
2009,16.48,-0.427,16.795,102.617,69.201
2010,18.038,1.131,17.626,83.592,64.59
2011,18.065,1.158,16.986,118.492,69.609
2012,18.674,1.768,16.42,76.25,66.978
2013,17.034,0.128,16.975,85.767,67.391
2014,16.242,-0.664,17.03,88.967,67.538
2015,17.564,0.658,16.67,83.233,66.999
2016,18.111,1.205,17.155,76.1,66.9
2017,18.109,1.203,19.104,96.425,67.425
2018,17.413,0.507,19.04,151.1,72.175
2019,17.909,1.003,18.796,105.725,68.834
2020,18.485,1.579,19.267,115.175,69.036
2021,18.492,1.586,18.155,93.667,67.744
2022,18.323,1.417,19.456,112.325,66.055
2023,19.334,2.427,18.533,99.958,66.909
2024,19.133,2.227,18.163,93.975,66.677
